{'12/11/22 17.52.51': {'94,5'}}
{'12/11/22 18.50.39': {'63,5'}}
{'12/11/22 18.52.18': {'63,5'}}
{'12/11/22 18.53.11': {'63,5'}}
{'12/11/22 18.56.21': {'70'}}
{'12/11/22 19.07.14': {'65'}}
{'12/11/22 19.12.55': {'68'}}
{'12/11/22 19.22.09': {'63'}}
{'13/11/22 17.03.54': {'62'}}
{'14/11/22 11.37.22': {'70'}}
{'14/11/22 11.39.40': {'69'}}
{'14/11/22 12.46.17': {'/calc_us'}}
{'14/11/22 12.55.02': {'65'}}
{'14/11/22 17.23.17': {'65'}}
{'14/11/22 17.28.02': {'64'}}
{'14/11/22 17.34.25': {'65,5'}}
{'14/11/22 18.18.52': '65.5'}
{'14/11/22 18.31.37': '70'}
{'14/11/22 18.35.04': '63.5'}
